country,admin1,admin2,admin3,maize_fractional_area,sorghum_fractional_area,potato_fractional_area,cassava_fractional_area,millet_fractional_area,springlentil_fractional_area,maize_grain_yield,maize_pd,sorghum_grain_yield,sorghum_pd,cassava_grain_yield,cassava_pd,millet_grain_yield,millet_pd,springlentil_grain_yield,springlentil_pd,potato_grain_yield,potato_pd
Kenya,Baringo,805,Lembus,0.016511794179677963,0.0014026256976649163,0.0011967980535700915,0.0006493895198218523,0.0010080370120704174,2.7487736588227563e-05,3.3113983142857144,46,2.123128257142857,74,2.1127718095238093,105,1.5579450476190477,105,0.9422915047619046,105,2.398730333333334,105
Kenya,Baringo,Baringo Central,Ewalel/Chapchap,0.01101141981780529,0.0009353859932161868,0.0007981232483871281,0.0004330662195570767,0.0006722418474964797,1.8331080354982987e-05,3.181554733333334,74,2.025531866666667,74,2.1943157523809527,105,1.4541349523809521,105,0.7955065428571428,105,2.271900123809524,105
Kenya,Baringo,Baringo Central,Kabarnet,0.015013610012829304,0.0012753596529364586,0.0010882075875997543,0.0005904677091166378,0.0009165736264549196,2.499366382835433e-05,3.2968535423809526,46,2.270454838095238,74,2.381670179047619,105,1.6539305714285717,105,1.2679166095238095,105,2.4922256095238096,135
Kenya,Baringo,Baringo Central,Kapropita,0.003445531474426389,0.0002926872111856937,0.00024973697145469487,0.00013550871517509222,0.00021034800738561896,5.735892045777291e-06,4.42920500952381,105,2.609094028571428,135,2.148074820952381,46,1.895544704761905,135,1.519108,135,2.8697126571428573,135
Kenya,Baringo,Baringo Central,Sacho,0.007223385851830244,0.0006136042647995055,0.0005235612043179573,0.0002840873203240335,0.00044098417856730515,1.2025012438243719e-05,3.9747736099999997,15,2.527398923809524,74,2.0726259438095234,46,1.8437763523809523,135,1.4973646285714284,135,2.7865195047619045,135
Kenya,Baringo,Baringo North,Bartabwa,0.010594693012535572,0.0008999863639473914,0.0007679183036088942,0.0004166768630966544,0.0006468008505180477,1.7637341443332847e-05,2.853778323809524,74,1.8320983904761907,74,2.1248066,105,1.321034723809524,105,0.6757960285714285,105,2.0742860666666667,105
Kenya,Baringo,Baringo North,Barwessa,0.02143843658268452,0.001821128884330392,0.0015538881998509169,0.0008431486785411835,0.0013088062405586245,3.568928514141589e-05,3.601931662857143,46,2.349580361904762,74,2.4224401028571427,15,1.7145716476190476,105,1.2227085904761905,105,2.5278938571428573,135
Kenya,Baringo,Baringo North,Kabartonjo,0.00755717558786273,0.0006419586134143174,0.0005477547529153526,0.00029721486498601735,0.0004613618657458573,1.258068368770182e-05,3.0766160952380956,105,2.0131540571428572,74,2.2230872857142856,105,1.4257084857142857,105,0.6099327047619048,105,2.1499287904761912,105
Kenya,Baringo,Baringo North,Saimo/Soi,0.014271642081439497,0.0012123316992074251,0.001034428714774549,0.0005612869281321764,0.0008712768321856856,2.3758480892865922e-05,2.8261428,74,1.848678942857143,74,2.0821838190476187,105,1.3333295428571428,105,0.6704448571428572,105,2.055012476190476,105
Kenya,Baringo,Baringo South,Ilchamus,0.013997201807796957,0.001189019065350294,0.0010145369451493023,0.000550493597984314,0.0008545223390683532,2.330161260033492e-05,2.6652198804761906,46,1.8385160095238096,74,1.993528038095238,105,1.3161421333333334,74,0.621219780952381,74,1.9498809904761902,105
Kenya,Baringo,Baringo South,Marigat,0.009084594435989857,0.0007717080879956484,0.0006584642105735838,0.0003572864516172558,0.0005546100437641144,1.5123428966035135e-05,2.9615045695238087,46,1.936168857142857,74,2.0536480190476194,105,1.3916502000000002,105,0.7435490761904762,105,2.146103085714286,105
Kenya,Baringo,Baringo South,Mochongoi,0.002894808072596789,0.0002459049574099481,0.00020981975831091404,0.00011384939716663213,0.0001767266076058149,4.819084097107407e-06,2.3985066666666666,74,1.6229724857142855,74,1.8423596666666668,105,1.135544438095238,105,0.48582336190476194,74,1.7045519142857142,105
Kenya,Baringo,Baringo South,Mukutani,0.01781943254172802,0.0015137054724618793,0.001291577587835491,0.0007008174434304237,0.0010878676548600195,2.9664606699952856e-05,2.2429908261904763,46,1.5692917904761903,74,1.7756155523809525,105,1.106109295238095,105,0.49238952380952383,74,1.677253638095238,105
Kenya,Baringo,Eldama Ravine,Koibatek,0.0014090669574216008,0.00011969586921622977,0.0001021311545628123,5.5416952818632126e-05,8.602285379311071e-05,2.3457212137145693e-06,3.9726589047619045,74,2.4135089547619044,46,1.4977220885714284,46,1.6626449142857145,74,0.8775378380952382,105,2.5107196190476193,105
Kenya,Baringo,Eldama Ravine,Lembus Kwen,0.002356505254283548,0.00020017781935166568,0.00017080281395465136,9.267858695238829e-05,0.00014386350812856108,3.922953510482331e-06,4.786279875238096,15,2.815477650952381,15,0.46339762095238085,15,1.7264261152380953,15,1.754355438095238,105,3.0298430952380953,135
Kenya,Baringo,Eldama Ravine,Lembus/Perkerra,0.01218158472329378,0.0010347878560423849,0.0008829383295960724,0.0004790874372702092,0.0007436797604896128,2.0279092495911755e-05,3.3698480576190475,46,2.1269254571428573,74,2.084068990476191,105,1.5563415333333335,105,0.8675021714285714,105,2.347858923809524,105
Kenya,Baringo,Eldama Ravine,Mumberes/Maji Mazuri,0.003333015600219369,0.00028312933864071965,0.0002415816707070917,0.0001310835941694677,0.00020347897952888158,5.548582521441858e-06,4.680277526666667,15,2.757092833809524,15,0.4704438642857142,15,1.7362482819047618,15,1.7914603619047618,105,3.04066959047619,135
